Entitlement Name,Privilege Name,Privilege Code
Vendor Account Creation,Create Supplier,PRIV001
Vendor Account Creation,Edit Supplier Details,PRIV002
AP Payment Processing,Approve Payment,PRIV003
AP Payment Processing,Submit Payment Batch,PRIV004
Invoice Management,Create Invoice,PRIV005
Invoice Management,Edit Invoice,PRIV006
Payment Posting,Post Payment,PRIV007
Payment Posting,Reverse Payment,PRIV008
Purchase Order Creation,Create Purchase Order,PRIV009
Purchase Order Creation,Submit Purchase Order,PRIV010
Purchase Order Approval,Approve Purchase Order,PRIV011
Purchase Order Approval,Finalize Purchase Order,PRIV012
Journal Entry,Enter Journal Entry,PRIV013
Journal Entry,Edit Journal Entry,PRIV014
Journal Approval,Approve Journal Entry,PRIV015
Journal Approval,Post Journal Entry,PRIV016
System Administration,Manage System Settings,PRIV017
System Administration,Manage Users,PRIV018
Finance Inquiry Access,Full Financial Access,PRIV019
Finance and GL Combined,Full Financial Access,PRIV019
Finance and GL Combined,Override Financial Limits,PRIV020
Finance and GL Combined,Enter Journal Entry,PRIV013
Legacy Reporting Module,Run Legacy Report,PRIV998
Legacy Reporting Module,Export Legacy Data,PRIV999
Single Priv Entitlement,Post Payment,PRIV007
Vendor Account Creation,Create Supplier,PRIV001
