Entitlement Name,Privilege Name,Privilege Code
AP_CREATE_VENDOR,Create Supplier,PRIV001
AP_CREATE_VENDOR,Edit Supplier Details,PRIV002
AP_PROCESS_PAYMENT,Approve Payment,PRIV003
AP_PROCESS_PAYMENT,Submit Payment Batch,PRIV004
AP_CREATE_INVOICE,Create Invoice,PRIV005
AP_CREATE_INVOICE,Edit Invoice,PRIV006
AP_POST_PAYMENT,Post Payment,PRIV007
AP_POST_PAYMENT,Reverse Payment,PRIV008
PO_CREATE_ORDER,Create Purchase Order,PRIV009
PO_CREATE_ORDER,Submit Purchase Order,PRIV010
PO_APPROVE_ORDER,Approve Purchase Order,PRIV011
PO_APPROVE_ORDER,Finalize Purchase Order,PRIV012
GL_ENTER_JOURNAL,Enter Journal Entry,PRIV013
GL_ENTER_JOURNAL,Edit Journal Entry,PRIV014
GL_APPROVE_JOURNAL,Approve Journal Entry,PRIV015
GL_APPROVE_JOURNAL,Post Journal Entry,PRIV016
SYS_ADMIN,Manage System Settings,PRIV017
SYS_ADMIN,Manage Users,PRIV018
FIN_CONTROL,Full Financial Access,PRIV019
FIN_CONTROL,Override Financial Limits,PRIV020
AP_COMBINED_FULL,Create Supplier,PRIV001
AP_COMBINED_FULL,Edit Supplier Details,PRIV002
AP_COMBINED_FULL,Approve Payment,PRIV003
AP_COMBINED_FULL,Submit Payment Batch,PRIV004
AP_COMBINED_FULL,Create Invoice,PRIV005
AP_COMBINED_FULL,Edit Invoice,PRIV006
