ROLE NAME,INHERITED ROLE NAME,GRANT END DATE,OBJECT NAME,FUNCTION NAME,INSTANCE SET NAME
ROLE_AP_MANAGER,AP_DUTY_CREATE_VENDOR,2026-12-31,FND_GRANTS,AP Manage Vendors,AP Vendor Business Unit
ROLE_AP_MANAGER,AP_DUTY_APPROVE_PAY,No Data Available,FND_GRANTS,AP Process Payments,AP Payment Business Unit
ROLE_AP_CLERK,AP_DUTY_CREATE_INV,2026-06-30,FND_GRANTS,AP Manage Invoices,AP Invoice Business Unit
ROLE_GL_CONTROLLER,GL_DUTY_ENTER_JOURNAL,2026-12-31,FND_GRANTS,GL Enter Journals,GL All Ledgers
ROLE_GL_CONTROLLER,GL_DUTY_APPROVE_JOURNAL,2026-12-31,FND_GRANTS,GL Approve Journals,GL All Ledgers
ROLE_GL_ANALYST,GL_DUTY_ENTER_JOURNAL,2026-09-30,FND_GRANTS,GL Enter Journals,GL Restricted Ledgers
ROLE_IT_ADMIN,IT_DUTY_SYS_SETTINGS,No Data Available,FND_GRANTS,System Administration,Global Instance Set
ROLE_PO_SUPERVISOR,PO_DUTY_CREATE_ORDER,2026-12-31,FND_GRANTS,PO Create Orders,PO All Business Units
ROLE_PO_SUPERVISOR,PO_DUTY_APPROVE_ORDER,2026-12-31,FND_GRANTS,PO Approve Orders,PO All Business Units
ROLE_FIN_DIRECTOR,FIN_DUTY_FULL_ACCESS,No Data Available,FND_GRANTS,Finance Full Control,Finance Global Set
