ROLE NAME,ENTITLEMENT,INHERITED ROLE NAME
ROLE_AP_MANAGER,AP_CREATE_VENDOR,AP_DUTY_CREATE_VENDOR
ROLE_AP_MANAGER,AP_PROCESS_PAYMENT,AP_DUTY_APPROVE_PAY
ROLE_AP_CLERK,AP_CREATE_INVOICE,AP_DUTY_CREATE_INV
ROLE_AP_CASHIER,AP_POST_PAYMENT,AP_DUTY_POST_PAY
ROLE_PO_SUPERVISOR,PO_CREATE_ORDER,PO_DUTY_CREATE_ORDER
ROLE_PO_SUPERVISOR,PO_APPROVE_ORDER,PO_DUTY_APPROVE_ORDER
ROLE_PO_CLERK,PO_CREATE_ORDER,PO_DUTY_CREATE_ORDER
ROLE_GL_CONTROLLER,GL_ENTER_JOURNAL,GL_DUTY_ENTER_JOURNAL
ROLE_GL_CONTROLLER,GL_APPROVE_JOURNAL,GL_DUTY_APPROVE_JOURNAL
ROLE_GL_ANALYST,GL_ENTER_JOURNAL,GL_DUTY_ENTER_JOURNAL
ROLE_IT_ADMIN,SYS_ADMIN,IT_DUTY_SYS_SETTINGS
ROLE_FIN_DIRECTOR,FIN_CONTROL,FIN_DUTY_FULL_ACCESS
