TOP_ROLE_CODE,TOP_ROLE_NAME,ROLE_TYPE_CODE,ROLE_CODE,ROLE_NAME,PRIVILEGE_CODE,PRIVILEGE_NAME
ROLE_AP_MANAGER,AP Manager,JOB,AP_DUTY_CREATE_VENDOR,AP Create Vendor Duty,PRIV001,Create Supplier
ROLE_AP_MANAGER,AP Manager,JOB,AP_DUTY_EDIT_VENDOR,AP Edit Vendor Duty,PRIV002,Edit Supplier Details
ROLE_AP_MANAGER,AP Manager,JOB,AP_DUTY_APPROVE_PAY,AP Approve Payment Duty,PRIV003,Approve Payment
ROLE_AP_MANAGER,AP Manager,JOB,AP_DUTY_SUBMIT_BATCH,AP Submit Batch Duty,PRIV004,Submit Payment Batch
ROLE_AP_CLERK,AP Clerk,JOB,AP_DUTY_CREATE_INV,AP Create Invoice Duty,PRIV005,Create Invoice
ROLE_AP_CLERK,AP Clerk,JOB,AP_DUTY_EDIT_INV,AP Edit Invoice Duty,PRIV006,Edit Invoice
ROLE_AP_CLERK,AP Clerk,JOB,AP_DUTY_VIEW_MODULE,AP View Module Duty,PRIV022,View AP Module
ROLE_AP_CASHIER,AP Cashier,JOB,AP_DUTY_POST_PAY,AP Post Payment Duty,PRIV007,Post Payment
ROLE_AP_CASHIER,AP Cashier,JOB,AP_DUTY_REVERSE_PAY,AP Reverse Payment Duty,PRIV008,Reverse Payment
ROLE_PO_SUPERVISOR,PO Supervisor,JOB,PO_DUTY_CREATE_ORDER,PO Create Order Duty,PRIV009,Create Purchase Order
ROLE_PO_SUPERVISOR,PO Supervisor,JOB,PO_DUTY_SUBMIT_ORDER,PO Submit Order Duty,PRIV010,Submit Purchase Order
ROLE_PO_SUPERVISOR,PO Supervisor,JOB,PO_DUTY_APPROVE_ORDER,PO Approve Order Duty,PRIV011,Approve Purchase Order
ROLE_PO_SUPERVISOR,PO Supervisor,JOB,PO_DUTY_FINALIZE_ORDER,PO Finalize Order Duty,PRIV012,Finalize Purchase Order
ROLE_PO_CLERK,PO Clerk,JOB,PO_DUTY_CREATE_ORDER,PO Create Order Duty,PRIV009,Create Purchase Order
ROLE_PO_CLERK,PO Clerk,JOB,PO_DUTY_SUBMIT_ORDER,PO Submit Order Duty,PRIV010,Submit Purchase Order
ROLE_GL_CONTROLLER,GL Controller,JOB,GL_DUTY_ENTER_JOURNAL,GL Enter Journal Duty,PRIV013,Enter Journal Entry
ROLE_GL_CONTROLLER,GL Controller,JOB,GL_DUTY_EDIT_JOURNAL,GL Edit Journal Duty,PRIV014,Edit Journal Entry
ROLE_GL_CONTROLLER,GL Controller,JOB,GL_DUTY_APPROVE_JOURNAL,GL Approve Journal Duty,PRIV015,Approve Journal Entry
ROLE_GL_CONTROLLER,GL Controller,JOB,GL_DUTY_POST_JOURNAL,GL Post Journal Duty,PRIV016,Post Journal Entry
ROLE_GL_ANALYST,GL Analyst,JOB,GL_DUTY_ENTER_JOURNAL,GL Enter Journal Duty,PRIV013,Enter Journal Entry
ROLE_GL_ANALYST,GL Analyst,JOB,GL_DUTY_EDIT_JOURNAL,GL Edit Journal Duty,PRIV014,Edit Journal Entry
ROLE_IT_ADMIN,IT Administrator,JOB,IT_DUTY_SYS_SETTINGS,IT System Settings Duty,PRIV017,Manage System Settings
ROLE_IT_ADMIN,IT Administrator,JOB,IT_DUTY_MANAGE_USERS,IT Manage Users Duty,PRIV018,Manage Users
ROLE_FIN_DIRECTOR,Finance Director,JOB,FIN_DUTY_FULL_ACCESS,Finance Full Access Duty,PRIV019,Full Financial Access
ROLE_FIN_DIRECTOR,Finance Director,JOB,FIN_DUTY_OVERRIDE,Finance Override Duty,PRIV020,Override Financial Limits
